NM_ID,Gene,Disease,Disease_Category,Motif_Class,Subclass,Start,End,Length,Score
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3873,3883,11,1.61
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,4638,4657,20,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,R-Loop,R-loop formation sites,5247,6257,1011,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,5398,5423,26,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,5741,5750,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6041,6063,23,1.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6264,6278,15,1.05
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,6264,8309,2045,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,i-Motif,Canonical i-motif,6287,6311,25,2.93
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6399,6422,24,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,6421,6430,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,6421,8309,1888,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,R-Loop,R-loop formation sites,6443,8309,1867,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6525,6541,17,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6578,6600,23,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,6852,6872,21,1.08
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Slipped_DNA,STR,6901,6927,27,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Intramolecular G-triplex,6983,6997,15,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7183,7198,16,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,7194,7204,11,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Slipped_DNA,STR,7204,7242,39,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7243,7268,26,1.06
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7277,7296,20,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7365,7386,22,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7424,7442,19,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,7426,7435,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,7464,7477,14,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,7464,7491,27,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7465,7491,27,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7519,7542,24,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7544,7565,22,1.02
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7626,7649,24,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7702,7720,19,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7727,7746,20,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,i-Motif,Canonical i-motif,7807,7830,24,2.75
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,7868,7877,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,7868,7908,40,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,7868,8189,321,2.78
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,7869,7908,40,1.55
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,7884,7893,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,7923,7940,18,1.09
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,i-Motif,Canonical i-motif,8001,8029,29,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Canonical intramolecular G4,8036,8059,24,1.28
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Triplex,Triplex,8128,8157,30,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8129,8157,29,2.72
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Triplex,Triplex,8165,8189,25,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8183,8189,7,2.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8410,8416,7,2.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8449,8455,7,2.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8478,8484,7,2.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Triplex,Triplex,8553,8573,21,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8631,8640,10,2.24
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,8642,8649,8,2.11
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2,19,18,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,R-Loop,R-loop formation sites,274,733,460,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Z-DNA,Z-DNA,586,595,10,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,586,1149,563,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,A-philic_DNA,A-philic DNA,700,709,10,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,i-Motif,Canonical i-motif,706,733,28,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,740,766,27,1.47
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Z-DNA,eGZ,752,763,12,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,R-Loop,R-loop formation sites,787,1149,363,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Intramolecular G-triplex,787,807,21,1.37
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,787,813,26,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,A-philic_DNA,A-philic DNA,795,813,19,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,795,1100,305,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,847,869,23,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Z-DNA,eGZ,864,875,12,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,871,897,27,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,899,918,20,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,899,922,23,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,A-philic_DNA,A-philic DNA,913,922,10,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,923,942,20,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Slipped_DNA,STR,1072,1092,21,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Hybrid,Slipped_DNA_G-Quadruplex_Overlap,1072,1100,28,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Z-DNA,eGZ,1073,1090,18,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Hybrid,Z-DNA_G-Quadruplex_Overlap,1073,1100,27,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1074,1100,27,1.07
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,1074,2043,969,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,A-philic_DNA,A-philic DNA,1107,1117,11,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,1107,1136,29,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1108,1136,29,1.35
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,R-Loop,R-loop formation sites,1222,2043,822,3.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1450,1471,22,1.22
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Curved_DNA,Local Curvature,1499,1506,8,2.11
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Curved_DNA,Local Curvature,1602,1609,8,2.11
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Triplex,Triplex,1618,1639,22,1.0
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Curved_DNA,Local Curvature,2015,2021,7,2.03
NM_003924,PHOX2B,"{Neuroblastoma, susceptibility to, 2}, 613013 (3)",Other,Curved_DNA,Local Curvature,2596,2604,9,2.18
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,6,30,25,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,45,67,23,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,R-Loop,R-loop formation sites,92,103,12,2.27
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,104,123,20,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,Hybrid,G-Quadruplex_R-Loop_Overlap,104,517,413,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,R-Loop,R-loop formation sites,109,517,409,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,150,165,16,1.03
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,177,201,25,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,312,328,17,1.1
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,492,517,26,1.31
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,628,652,25,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,R-Loop,R-loop formation sites,729,1454,726,2.13
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,800,819,20,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Extended-loop canonical,876,906,31,1.32
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1041,1063,23,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1101,1130,30,1.34
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1245,1257,13,1.41
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1347,1373,27,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1500,1519,20,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1529,1558,30,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1638,1657,20,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,R-Loop,R-loop formation sites,1738,2748,1011,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1777,1799,23,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,A-philic_DNA,A-philic DNA,1777,1786,10,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1859,1882,24,1.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,1935,1954,20,1.1
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,1935,2294,359,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,A-philic_DNA,A-philic DNA,2035,2045,11,3.0
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,G-Quadruplex,Two-tetrad weak PQS,2168,2196,29,1.67
NM_001081560,DMPK,"Myotonic dystrophy 1, 160900 (3)",Muscular Disorders,Slipped_DNA,STR,2235,2294,60,3.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,29,51,23,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,240,262,23,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,240,680,440,2.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Triplex,Triplex,258,283,26,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Hybrid,Triplex_G-Quadruplex_Overlap,258,292,34,1.72
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,264,292,29,1.74
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,294,310,17,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,328,369,42,3.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,328,680,352,2.26
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,R-Loop,R-loop formation sites,356,680,325,2.6
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,402,425,24,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Curved_DNA,Local Curvature,461,468,8,2.11
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,553,570,18,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,R-Loop,R-loop formation sites,718,743,26,1.64
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,1138,1161,24,1.22
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Curved_DNA,Global Curvature,1477,1518,42,2.58
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,1823,1846,24,1.24
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2695,2724,30,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3222,3244,23,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3401,3411,11,1.61
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,Hybrid,G-Quadruplex_R-Loop_Overlap,3401,4622,1221,3.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,R-Loop,R-loop formation sites,3404,4622,1219,3.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3677,3697,21,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3899,3924,26,1.16
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3989,4008,20,1.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,4185,4220,36,3.0
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Intramolecular G-triplex,4590,4603,14,1.56
NM_001278065,GRM1,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,4705,4725,21,1.0
